file,title,slug,primary_keyword,cluster,wall_section,word_count,meta_description
01-where-to-vent-anonymously-online.md,where to vent anonymously online,/read/vent-anonymously-online,where to vent anonymously online,venting,/venting,1191,"A quiet guide to choosing somewhere to vent anonymously based on what you actually want back: nothing, listening, conversation, or help."
02-anonymous-confession-website.md,what an anonymous confession website is actually for,/read/anonymous-confession-website,anonymous confession website,confessions,/confessions,1039,"A privacy-first guide to anonymous confession: what people are looking for, what anonymity can and cannot mean, and when a confession needs more than a public post."
03-share-ideas-anonymously.md,where to share half-formed ideas anonymously,/read/share-ideas-anonymously,where to share random ideas anonymously,ideas,/ideas,914,"Not every thought needs to become content. A quiet guide to sharing a half-formed idea anonymously without a profile, performance, or finished point."
04-letter-you-will-never-send.md,how to write a letter you'll never send,/read/letter-you-will-never-send,how to write a letter you'll never send,things unsaid,/things-unsaid,1144,"A practical guide to writing an unsent letter when you have words for someone but sending them would be unwise, impossible, or beside the point."
05-keep-a-memory-alive.md,how to keep the memory of someone you loved alive,/read/keep-a-memory-alive,how to keep the memory of a loved one alive,memory,/memory,1184,"Quiet, practical ways to preserve the small details of someone you loved—voice, phrases, habits, stories and ordinary moments—without being told how grief should look."
06-things-i-never-said-to-my-dad.md,things i never said to my dad,/read/things-i-never-said-to-my-dad,things i never said to my dad,things unsaid,/things-unsaid,1270,"For the things you never said to your dad: pride, anger, approval, distance, gratitude, disappointment, love, and the ordinary words that got left behind."
07-things-i-never-said-to-my-mom.md,things i never said to my mom,/read/things-i-never-said-to-my-mom,things i never said to my mom,things unsaid,/things-unsaid,1217,"For the things you never said to your mom: gratitude, resentment, worry, guilt, distance, tenderness, and complicated love that doesn't fit into a greeting card."
08-letter-to-my-younger-self.md,a letter to my younger self (and how to write your own),/read/letter-to-my-younger-self,letter to my younger self,memory,/memory,1026,"How to write a letter to your younger self without turning it into a lecture: remember the past self as a person, not a problem you now know how to solve."
09-unsent-messages-to-someone-who-died.md,unsent messages to someone who died,/read/unsent-messages-to-someone-who-died,unsent messages to someone who died,memory,/memory,1050,"Why people still write texts and letters to someone who died, what those messages often hold, and gentle ways to keep or release them without being told how grief should work."
10-moments-i-dont-want-to-forget.md,moments i don't want to forget,/read/moments-i-dont-want-to-forget,moments i don't want to forget,memory,/memory,986,"A simple way to capture a moment before its edges blur—without turning it into a perfect story, scrapbook project, or life lesson."
11-why-cant-i-tell-people-how-i-feel.md,why can't i tell people how i really feel,/read/why-cant-i-tell-people-how-i-feel,why can't i tell people how i really feel,venting,/venting,1319,"If you can explain your feelings in your head but not to another person, there may be ordinary reasons. A non-clinical guide to finding a lower-stakes first sentence."
12-forgive-someone-who-never-apologized.md,how to forgive someone who never apologized,/read/forgive-someone-who-never-apologized,how to forgive someone who never apologized,things unsaid,/things-unsaid,1095,"You do not need to force forgiveness to move forward. A quieter guide to living without the apology, accountability, or closure you deserved."
13-stop-bottling-up-feelings.md,how to stop bottling up your feelings,/read/stop-bottling-up-feelings,how to stop bottling up feelings,venting,/venting,1271,"If 'just open up' feels impossible, start smaller. Practical, non-clinical ways to move from total silence toward language without dumping everything on one person."
14-half-formed-ideas.md,half-formed ideas i never finished thinking through,/read/half-formed-ideas,half-formed ideas i never finished thinking through,ideas,/ideas,952,"An unfinished thought is still a thought. A quiet argument for keeping fragments, questions and almost-ideas without forcing them to become projects or opinions."
15-how-to-write-a-confession.md,how to write a confession (that isn't a love letter),/read/how-to-write-a-confession,how to write a confession letter,confessions,/confessions,1172,A confession does not need drama or perfect prose. A practical structure for admitting something honestly without disguising an excuse as accountability.
